N,Z,A,Mass Excess (keV)
8,8,16,-4737.00217
9,8,17,-808.76421
10,8,18,-782.81634
14,8,22,9283.032
15,8,23,14621.371
8,9,17,1951.701
9,9,18,873.112
11,9,20,-17.463
15,9,24,7544.516
17,9,26,18674.655
8,10,18,5317.617
9,10,19,1752.054
11,10,21,-5731.776
13,10,23,-5154.045
15,10,25,-2035.503
16,10,26,481.114
18,10,28,11299.738
9,11,20,6850.489
10,11,21,-2184.857
13,11,24,-8417.901
14,11,25,-9357.814
16,11,27,-5517.791
17,11,28,-988.315
19,11,30,8474.67
8,12,20,17477.694
11,12,23,-5473.675
12,12,24,-13933.578
13,12,25,-13192.782
14,12,26,-16214.544
15,12,27,-14586.594
16,12,28,-15019.946
18,12,30,-8881.373
19,12,31,-3122.152
20,12,32,-828.901
21,12,33,4962.873
10,13,23,6748.071
11,13,24,-48.812
12,13,25,-8915.974
13,13,26,-12210.139
15,13,28,-16850.719
17,13,30,-15864.116
18,13,31,-14950.709
19,13,32,-11099.368
20,13,33,-8497.382
10,14,24,10745.186
11,14,25,3827.322
12,14,26,-7141.003
13,14,27,-12384.505
14,14,28,-21492.7971
15,14,29,-21895.08154
16,14,30,-24432.962
17,14,31,-22949.037
19,14,33,-20514.328
21,14,35,-14391.48
12,15,27,-659.032
14,15,29,-16952.849
15,15,30,-20200.856
16,15,31,-24440.54442
17,15,32,-24304.876
18,15,33,-26337.35
19,15,34,-24548.702
20,15,35,-24857.809
21,15,36,-20251.045
22,15,37,-18996.012
23,15,38,-14621.565
12,16,28,4073.203
13,16,29,-3094.423
14,16,30,-14059.254
15,16,31,-19042.531
16,16,32,-26015.53714
17,16,33,-26585.8583
19,16,35,-28846.21
20,16,36,-30664.141
22,16,38,-26861.216
23,16,39,-23162.672
24,16,40,-22837.85
13,17,30,4674.548
14,17,31,-7034.552
15,17,32,-13334.706
16,17,33,-21003.34
17,17,34,-24440.086
18,17,35,-29013.532
20,17,37,-31761.552
21,17,38,-29798.116
23,17,40,-27557.818
24,17,41,-27307.192
14,18,32,-2200.352
15,18,33,-9384.295
17,18,35,-23047.289
19,18,37,-30947.679
21,18,39,-33242.195
22,18,40,-35039.8999
23,18,41,-33067.51
24,18,42,-34422.678
25,18,43,-32009.811
16,19,35,-11172.893
17,19,36,-17417.182
18,19,37,-24800.201
19,19,38,-28800.76
21,19,40,-33535.497
23,19,42,-35022.031
24,19,43,-36575.394
25,19,44,-35781.498
26,19,45,-36615.643
27,19,46,-35413.929
29,19,48,-32284.482
30,19,49,-29611.496
16,20,36,-6451.166
17,20,37,-13136.07
18,20,38,-22058.503
20,20,40,-34846.402
21,20,41,-35137.908
22,20,42,-38547.293
23,20,43,-38408.873
25,20,45,-40812.23
26,20,46,-43139.61
28,20,48,-44224.868
29,20,49,-41300.003
30,20,50,-39589.23
18,21,39,-14172.726
19,21,40,-20523.353
21,21,42,-32121.003
25,21,46,-41761.643
26,21,47,-44336.842
27,21,48,-44504.083
29,21,50,-44537.12
30,21,51,-43250.353
31,21,52,-40523.56
18,22,40,-8993.439
19,22,41,-15697.539
20,22,42,-25104.353
21,22,43,-29315.591
22,22,44,-37548.586
23,22,45,-39010.266
24,22,46,-44128.269
26,22,48,-48492.952
27,22,49,-48564.012
29,22,51,-49732.965
31,22,53,-46881.433
32,22,54,-45743.812
21,23,44,-23808.079
23,23,46,-37075.897
24,23,47,-42007.07
25,23,48,-44478.005
26,23,49,-47962.157
28,23,51,-52203.105
29,23,52,-51443.032
31,23,54,-49898.267
32,23,55,-49125.136
34,23,57,-44435.063
35,23,58,-40430.584
20,24,44,-13421.899
21,24,45,-19514.801
22,24,46,-29471.57
23,24,47,-34563.093
24,24,48,-42821.313
25,24,49,-45332.352
29,24,53,-55287.618
30,24,54,-56935.379
32,24,56,-55285.128
33,24,57,-52524.985
35,24,59,-48115.931
23,25,48,-29296.644
24,25,49,-37619.925
27,25,52,-50711.387
28,25,53,-54690.35
29,25,54,-55558.247
30,25,55,-57712.542
31,25,56,-56911.666
32,25,57,-57486.279
33,25,58,-55827.568
34,25,59,-55525.328
35,25,60,-52967.946
36,25,61,-51742.13
23,26,49,-24750.73
27,26,53,-50947.483
29,26,55,-57481.422
33,26,59,-60664.957
34,26,60,-61413.174
35,26,61,-58920.503
36,26,62,-58878.057
37,26,63,-55635.629
23,27,50,-17589.403
25,27,52,-34343.979
26,27,53,-42659.376
27,27,54,-48010.068
29,27,56,-56040.518
30,27,57,-59345.658
31,27,58,-59847.292
32,27,59,-62229.838
33,27,60,-61650.437
